Wavelenght (nm),celda 1,celda 2,celda 3,
580,176,149,180,
581,160,56,145, 
582,156,141,77,
583,208,154,148,
584,205,127,123,
585,148,169,166,
586,217,217,217,
587,206,144,153,
588,177,79,78,
589,217,64,126,
590,200,77,182,
591,165,217,138,
592,240,68,189,
593,246,161,217,
594,234,153,163,
595,294,152,217,
596,238,217,68,
597,313,182,168,
598,251,217,217,
599,293,217,136,
600,351,199,217,
601,378,216,171,
602,449,231,217,
603,416,193,217,
604,504,217,182,
605,466,251,235,
606,553,288,215,
607,601,240,223,
608,662,323,240,
609,701,256,280,
610,784,313,236,
611,942,373,289,
612,955,382,286,
613,984,381,322,
614,1075,466,282,
615,1107,489,330,
616,1180,476,413,
617,1461,404,413,
618,1536,550,460,
619,1635,550,384,
620,1671,665,498,
621,1692,550,515,
622,2046,647,545,
623,2022,743,601,
624,2189,804,579,
625,2183,802,557,
626,2280,866,637,
627,2381,770,748,
628,2500,850,669,
629,2630,968,713,
630,2808,937,825,
631,2789,942,792,
632,3220,1116,855,
633,2962,1098,931,
634,3195,1186,860,
635,3192,1154,895,
636,3636,1333,852,
637,3553,1315,1035,
638,3712,1254,992,
639,4085,1537,1021,
640,4200,1443,1086,
641,4193,1668,1116,
642,4659,1701,1116,
643,4753,1828,1216,
644,4927,1987,1279,
645,5114,2074,1284,
646,5268,2261,1306,
647,5483,2224,1467,
648,6012,2080,1316,
649,6073,2474,1496,
650,6231,2527,1557,
651,6623,2337,1696,
652,6441,2607,1674,
653,6615,2591,1588,
654,6650,2504,1680,
655,7016,2747,1596,
656,7315,2856,1807,
657,7117,2954,1814,
658,7923,3295,1788,
659,8494,3229,1934,
660,9509,3728,2068,
661,10188,3930,2335,
662,11057,4491,2509,
663,11836,4896,2740,
664,12792,5082,2838,
665,13747,5868,3066,
666,14273,6162,3092,
667,15293,6386,3528,
668,15695,6919,3764,
669,16581,7102,3829,
670,17041,7209,4111,
671,16982,7562,3931,
672,17404,7613,4119,
673,17269,7782,4158,
674,17404,8146,4244,
675,17448,7972,4106,
676,18180,8274,4390,
677,17971,8483,4221,
678,18335,8641,4089,
679,18690,8820,4007,
680,18709,9808,4400,
681,19470,10248,4870,
682,20439,10982,4668,
683,21217,11617,4908,
684,21820,12267,5116,
685,23572,13308,5487,
686,24288,14876,5788,
687,25525,15134,5724,
688,25910,16489,6083,
689,26397,17271,6299,
690,26152,17133,6508,
691,25364,16975,6473,
692,25271,17043,6136,
693,24222,16699,5989,
694,23560,16220,5853,
695,22793,15578,5809,
696,21900,15371,5251,
697,21120,15124,5506,
698,20702,14817,5595,
699,20574,15342,5289,
700,20278,14706,5313,
701,19616,14600,5081,
702,19136,14214,5005,
703,18473,13271,5012,
704,17540,12826,4954,
705,17403,12999,4583,
706,16741,12744,4751,
707,16211,12645,4811,
708,16263,12627,4813,
709,16356,12912,5123,
710,16543,13074,5327,
711,16133,13764,5538,
712,16104,13418,5538,
713,16194,13170,5331,
714,15140,12523,5559,
715,14351,11418,5389,
716,12634,10302,4702,
717,11162,9283,4714,
718,9916,7755,4002,
719,8368,6533,3760,
720,7564,5926,3499,
721,6351,4955,3024,
722,5887,4130,2665,
723,5098,3739,2634,
724,4576,3445,2379,
725,4064,2988,2101,
726,3527,2773,2169,
727,3202,2723,1733,
728,2974,2428,1724,
729,2883,2408,1666,
730,2778,2130,1520,
731,2506,1996,1372,
732,2121,1940,1282,
733,1917,1656,1130,
734,1717,1418,1035,
735,1409,1331,851,
736,1338,1186,632,
737,1122,1126,653,
738,1142,1076,530,
739,1048,1110,561,
740,968,1080,449,
741,921,993,478,
742,873,1065,345,
743,702,841,419,
744,725,926,415,
745,579,847,340,
746,660,830,324,
747,538,873,339,
748,545,753,226,
749,564,922,305,
750,647,851,359,
751,602,809,280,
752,604,914,243,
753,679,906,363,
754,611,781,310,
755,624,815,332,
756,629,776,354,
757,582,821,330,
758,638,803,305,
759,609,904,310,
760,654,964,344,
761,668,1005,340,
762,873,1284,423,
763,905,1206,375,
764,808,1168,331,
765,717,1305,472,
766,896,1019,411,
767,817,969,386,
768,674,901,301,
769,511,813,303,
770,581,771,304,
771,504,663,266,
772,494,616,274,
773,438,603,289,
774,468,603,258,
775,421,589,241,
776,356,467,248,
777,427,583,239,
778,350,592,217,
779,301,551,274,
780,389,627,190,
781,329,592,175,
782,371,695,240,
783,360,477,247,
784,390,478,170,
785,373,544,296,
786,341,551,235,
787,417,662,276,
788,367,617,273,
789,363,634,225,
790,498,575,294,
791,411,594,255,
792,437,548,213,
793,366,672,209,
794,469,548,204,
795,411,529,155,
796,420,666,246,
797,375,618,217,
798,386,593,271,
799,398,686,253,
800,387,550,207,
